Entity,Code,Year,Living Planet Index,Upper confidence interval of Living Planet Index,Lower confidence interval of Living Planet Index
Africa,,1970,100,100,100
Africa,,1971,94.004613,103.67786000000001,86.47847
Africa,,1972,89.996994,105.99841,77.636576
Africa,,1973,89.674807,109.67456,74.525344
Africa,,1974,85.61314,109.10656,67.872155
Africa,,1975,79.87522,107.55627000000001,59.519064
Africa,,1976,73.681283,105.57764999999999,51.21531
Africa,,1977,68.55669599999999,102.30387,45.856735
Africa,,1978,63.46199,97.801065,41.300281999999996
Africa,,1979,61.046195000000004,98.52561,37.959984000000006
Africa,,1980,61.535764,105.41126999999999,36.1236
Africa,,1981,64.33878,114.8395,36.375924999999995
Africa,,1982,62.54752,114.23649,34.717086
Africa,,1983,60.948840000000004,111.78066,33.728993
Africa,,1984,57.786286,106.25089999999999,31.87623
Africa,,1985,54.21002,100.20067999999999,29.702437
Africa,,1986,50.9055,94.659775,27.644170000000003
Africa,,1987,48.512694,90.78437000000001,26.075930000000003
Africa,,1988,46.974334,88.48914,25.146198
Africa,,1989,45.379722,86.04856,24.232860000000002
Africa,,1990,43.616715,83.13535,23.154394
Africa,,1991,42.95254,82.305026,22.641375999999998
Africa,,1992,43.475807,83.721936,22.714485
Africa,,1993,43.948746,85.25987,22.794339
Africa,,1994,44.49087,87.306833,22.81294
Africa,,1995,44.059843,87.331957,22.427095
Africa,,1996,43.973678,87.73531,22.282863
Africa,,1997,43.074483,86.01516000000001,21.814700000000002
Africa,,1998,42.116538,84.01783,21.278445
Africa,,1999,41.479552,82.84506,20.922288
Africa,,2000,40.746465,81.522363,20.531979
Africa,,2001,39.108196,78.84755,19.589019
Africa,,2002,37.214458,75.62147999999999,18.52329
Africa,,2003,35.666745999999996,73.148537,17.585754
Africa,,2004,34.566407999999996,71.24281,16.924919
Africa,,2005,33.269107,69.08185999999999,16.122182
Africa,,2006,32.03177,66.88021400000001,15.417819
Africa,,2007,32.009085999999996,67.16938,15.344945
Africa,,2008,32.298052,67.71928,15.464692
Africa,,2009,32.467926000000006,68.22785,15.528197999999998
Africa,,2010,31.544983,66.406804,15.069509
Africa,,2011,30.375797,64.143234,14.504717
Africa,,2012,29.082092999999997,61.417719999999996,13.882273000000001
Africa,,2013,28.170413,59.51395,13.459119
Africa,,2014,26.960372999999997,57.083850000000005,12.890699999999999
Africa,,2015,26.047169999999998,55.269647,12.404774
Africa,,2016,25.596067,54.444873,12.148655999999999
Africa,,2017,25.551108,54.49539,12.073449
Africa,,2018,25.256573999999997,53.997785,11.910943999999999
Africa,,2019,24.632017,52.640414,11.588701
Africa,,2020,23.96703,51.069075,11.251467499999999
Asia and Pacific,,1970,100,100,100
Asia and Pacific,,1971,103.67014,109.47583,99.857605
Asia and Pacific,,1972,105.45609,114.56957999999999,99.22840000000001
Asia and Pacific,,1973,106.37546,116.35312,99.042416
Asia and Pacific,,1974,107.30608,117.88788,99.29126000000001
Asia and Pacific,,1975,108.42007,119.52136,99.85553
